Name,Region,Scientific Name,Sun Exposure,Rating
Horsetail,0,Equisetum hyemale,"sun, partial sun, shade",5.20
Japanese Maple,0,Acer palmatum,"partial sun, shade",5.20
Kumquat,0,Fortunella margarita,"sun, partial sun",5.20
Banyan Tree,0,Ficus benghalensis,sun,5.20
Yews,0,Taxus spp.,"sun, partial sun, shade",5.20
"Gladiola, Glads, or Sword Lily",0,Gladiolus x hortulanus,sun,5.20
Giant Sequoia,0,Sequoiadendron giganteum,"sun, partial sun",5.20
Vinca or Periwinkle,0,Catharanthus roseus,"sun, partial sun",5.20
Oakleaf Hydrangea,0,Hydrangea quercifolia,"partial sun, shade",5.20
Tropical Hibiscus,0,Hibiscus rosa-sinensis,"sun, partial sun",5.20
Quaking Aspen,0,Populus tremuloides,sun,5.20
Foster's Holly,0,Ilex x attenuata,"sun, partial sun",5.00
"Bugleweed, Ajuga, or Carpetweed",0,Ajuga reptans,"partial sun, shade",5.00
Boxwoods,0,Buxus spp.,"sun, partial sun",5.00
Eastern White Pine,0,Pinus strobus,sun,5.00
Waxleaf Begonia,0,Begonia semperflorens-cultorum,"sun, partial sun, shade",5.00
Peach or Nectarine,0,Prunus persica,sun,5.00
Periwinkle,0,Vinca minor,shade,5.00
Bush Cinquefoil,0,Potentilla fruticosa,"sun, partial sun",4.40
Dawn Redwood,0,Metasequoia glyptostroboides,"sun, partial sun",4.40
Elephant's Ear,0,Colocasia esculenta,"sun, partial sun, shade",4.40
English Holly,0,Ilex aquifolium,"sun, partial sun",4.40
Bigleaf Hydrangea,0,Hydrangea macrophylla,partial sun,4.40
Coast Redwood,0,Sequoia sempervirens,"sun, partial sun",4.40
Water Oak,0,Quercus nigra,sun,4.40
Coconut Palm,0,Cocos nucifera,sun,4.40
Paper Birch,0,Betula papyrifera,sun,4.20
Weeping Fig,0,Ficus benjamina,"sun, partial sun, shade",4.20
River Birch,0,Betula nigra,sun,4.20
Gardenia,0,Gardenia augusta,"partial sun, shade",4.20
Canadian Hemlock,0,Tsuga canadensis,"sun, partial sun",4.20
Sasanqua Camellia,0,Camellia sasanqua,"sun, partial sun",3.40
Japanese Camellia,0,Camellia japonica,"partial sun, shade",3.40
Rhododendrons or Azaleas,0,Rhododendron spp.,"sun, partial sun, shade",3.40
Flowering Dogwood,0,Cornus florida,sun,2.60
Silver Maple,0,Acer saccharinum,sun,1.00
Japanese Cryptomeria,0,Cryptomeria japonica,"sun, partial sun",0.00
Weigela,0,Weigela florida,"sun, partial sun",0.00
"Golden Dewdrop, Brazilian Sky Flower",0,Duranta erecta (Duranta repens),"sun, partial sun",0.00
Japanese Blueberry Tree,0,Elaeocarpus decipiens,"sun, partial sun",0.00
